AccountCreated,Price,State,LastLogin,Product,PaymentType,Country,Latitude,City,Longitude,TransactionDate,Name
01-02-09 6:00,1200,England 01-02-09 6:08,Product1,Mastercard,United Kingdom,51.5,Basildon,-1.1166667,01-02-09 6:17,carolina
01-02-09 4:42,1200,MO,01-02-09 7:49,Product1,Visa,United States,39.195,Parkville,-94.68194,01-02-09 4:53,Betina
01-01-09 16:21,1200,OR,01-03-09 12:32,Product1,Mastercard,United States,46.18806,Astoria,-123.83,01-02-09 13:08,Federica e Andrea
9/25/05 21:13,1200,Victoria,01-03-09 14:22,Product1,Visa,Australia,-36.1333333,Echuca,144.75,01-03-09 14:44,Gouya
11/15/08 15:47,3600,AL,01-04-09 12:45,Product2,Visa,United States,33.52056,Cahaba Heights,-86.8025,01-04-09 12:56,Gerd W
9/24/08 15:19,1200,NJ,01-04-09 13:04,Product1,Visa,United States,39.79,Mickleton,-75.23806,01-04-09 13:19,LAURENCE
01-03-09 9:38,1200,IL,01-04-09 19:45,Product1,Mastercard,United States,40.69361,Peoria,-89.58889,01-04-09 20:11,Fleur
01-02-09 17:43,1200,TN,01-04-09 20:01,Product1,Mastercard,United States,36.34333,Martin,-88.85028,01-02-09 20:09,adam
01-04-09 13:03,1200,Tel Aviv,01-04-09 22:10,Product1,Mastercard,Israel,32.0666667,Tel Aviv,34.7666667,01-04-09 13:17,Renee Elisabeth
06-03-08 4:22,1200,Ile-de-France,01-05-09 1:17,Product1,Visa,France,48.8833333,Chatou,2.15,01-04-09 14:11,Aidan
01-05-09 2:23,1200,NY,01-05-09 4:59,Product1,Diners,United States,40.71417,New York,-74.00639,01-05-09 2:42,Stacy
01-05-09 4:55,1200,Noord-Brabant,01-05-09 8:15,Product1,Amex,Netherlands,51.45,Eindhoven,5.4666667,01-05-09 5:39,Heidi
01-02-09 8:32,1200,TX,01-05-09 9:05,Product1,Mastercard,United States,29.42389,Shavano Park,-98.49333,01-02-09 9:16,Sean
11-11-08 15:53,1200,ID,01-05-09 10:05,Product1,Visa,United States,43.69556,Eagle,-116.35306,01-05-09 10:08,Georgia
12-09-08 12:07,1200,NJ,01-05-09 11:01,Product1,Visa,United States,40.03222,Riverside,-74.95778,01-02-09 14:18,Richard
01-04-09 0:00,1200,Meath,01-05-09 13:36,Product1,Diners,Ireland,53.6772222,Julianstown,-6.3191667,01-04-09 1:05,Leanne
01-05-09 9:35,1200,Ontario,01-05-09 19:24,Product1,Visa,Canada,45.4166667,Ottawa,-75.7,01-05-09 11:37,Janet
01-06-09 2:41,1200,Andhra Pradesh,01-06-09 7:52,Product1,Diners,India,17.3833333,Hyderabad,78.4666667,01-06-09 5:02,barbara
01-06-09 7:00,3600,England,01-06-09 9:17,Product2,Visa,United Kingdom,51.52721,London,0.14559,01-06-09 7:45,Sabine
12/30/08 5:44,1200,UT,01-06-09 10:52,Product1,Diners,United States,40.76083,Salt Lake City,-111.89028,01-02-09 7:35,Hani
01-06-09 10:58,1200,England,01-06-09 13:31,Product1,Visa,United Kingdom,53.5,Manchester,-2.2166667,01-06-09 12:56,Jeremy
12-10-07 12:37,1200,Cork,01-07-09 1:52,Product1,Diners,Ireland,51.8630556,Ballynora,-8.58,01-01-09 11:05,Janis
01-05-09 2:33,1200,Gauteng,01-07-09 5:13,Product1,Mastercard,South Africa,-26.1666667,Roodepoort,27.8666667,01-05-09 4:10,Nicola
01-06-09 7:07,1200,CA,01-07-09 7:08,Product1,Visa,United States,32.64,Chula Vista,-117.08333,01-06-09 7:18,asuman
12/31/08 2:48,1200,Ita-Suomen Laani,01-07-09 10:20,Product1,Mastercard,Finland,62.9,Kuopio,27.6833333,01-02-09 1:11,Lena
01-01-09 1:56,1200,TX,01-07-09 10:52,Product1,Visa,United States,29.61944,Sugar Land,-95.63472,01-01-09 2:24,Lisa
01-07-09 7:39,1200,NY,01-07-09 12:38,Product1,Diners,United States,40.71417,New York,-74.00639,01-07-09 8:08,Bryan Kerrene
01-03-08 7:23,1200,England,01-07-09 13:14,Product1,Visa,United Kingdom,51.52721,London,0.14559,01-02-09 2:57,chris
10/24/08 6:48,1200,IL,01-07-09 20:49,Product1,Visa,United States,40.61278,Morton,-89.45917,01-01-09 20:21,Maxine
01-08-09 0:28,1200,CA,01-08-09 3:39,Product1,Visa,United States,37.22667,Los Gatos,-121.97361,01-08-09 0:42,Family
01-08-09 3:33,1200,NY,01-08-09 6:19,Product1,Mastercard,United States,40.71417,New York,-74.00639,01-08-09 3:56,Katherine
01-08-09 3:06,1200,FL,01-08-09 6:34,Product1,Mastercard,United States,25.77389,Miami,-80.19389,01-08-09 3:16,Linda
11/28/07 11:56,1200,Geneve,01-08-09 7:20,Product1,Mastercard,Switzerland,46.2333333,Vesenaz,6.2,01-08-09 1:59,SYLVIA
01-03-09 8:47,1200,NY,01-08-09 10:38,Product1,Diners,United States,40.65,Brooklyn,-73.95,01-03-09 9:03,Sheila
01-05-09 12:45,1200,Noord-Holland,01-08-09 11:45,Product1,Mastercard,Netherlands,52.3333333,Badhoevedorp,4.7833333,01-05-09 13:17,Stephanie
01-06-09 7:30,1200,VA,01-08-09 12:40,Product1,Amex,United States,38.96861,Reston,-77.34139,01-06-09 7:46,Kelly
12-10-08 19:53,3600,Queensland,01-08-09 17:58,Product2,Visa,Australia,-27.1666667,Burpengary,152.95,01-05-09 20:00,James
